"Format","MoTeC CSV File",,,"Workbook","Base"
"Venue","silverstone 2019 international",,,"Worksheet","Compare"
"Vehicle","porsche992rgt3",,,"Vehicle Desc","porsche992rgt3"
"Driver","Tom Doran",,,"Engine ID",""
"Device","ADL"
"Comment","sebring international\26s1\GO 26S1 IMSA 992GT3 Sebring S R.sto",,,"Session","Test"
"Log Date","04/04/2026",,,"Origin Time","0.000","s"
"Log Time","21:39:29",,,"Start Time","0.000","s"
"Sample Rate","20.000","Hz",,"End Time","1375.917","s"
"Duration","1375.917","s",,"Start Distance","0","m"
"Range","Lap 1 (selection)",,,"End Distance","61682","m"
"Beacon Markers","98.302 164.027 228.523 292.860 357.486 421.851 485.226 548.171 610.975 674.765 737.993 801.606 864.679 928.410 992.588 1054.665 1116.865 1178.882 1242.321 1305.472 1367.879 "


"Speed","Lap Distance","Gear","Brake","Throttle","Steering Wheel Angle"
"km/h","m","","%","%","rad"


"0.1","356.53","0","100.00","0.00","4.14"
"0.2","356.53","0","100.00","0.00","4.16"
"0.0","356.53","0","100.00","0.00","4.17"
"0.1","356.53","0","100.00","0.00","4.19"
"0.1","356.53","0","100.00","0.00","4.19"
"0.1","356.53","0","100.00","0.00","4.21"
"0.1","356.53","0","100.00","0.00","4.24"
"0.1","356.53","0","100.00","0.00","4.32"
"0.1","356.53","0","100.00","0.00","4.44"
"0.1","356.53","0","100.00","0.00","4.62"
"0.0","356.53","0","100.00","0.00","4.83"
"0.0","356.53","0","100.00","0.00","5.06"
"0.0","356.53","0","100.00","0.00","5.25"
"0.0","356.53","0","100.00","0.00","5.43"
"0.0","356.53","0","100.00","0.00","5.59"
"0.0","356.53","0","100.00","0.00","5.76"
"0.0","356.53","0","100.00","0.00","5.91"
"0.0","356.53","0","100.00","0.00","6.06"
"0.0","356.53","0","100.00","0.00","6.20"
"0.0","356.53","0","100.00","0.00","6.28"
"0.0","356.53","0","100.00","0.00","6.28"
"0.0","356.53","0","100.00","0.00","6.22"
"0.0","356.53","0","100.00","0.00","6.16"
"0.0","356.53","0","100.00","0.00","6.14"
"0.0","356.53","0","100.00","0.00","6.14"
"0.0","356.53","0","100.00","0.00","6.14"
"0.0","356.53","0","100.00","0.00","6.13"
"0.0","356.53","0","100.00","0.00","6.12"
"0.0","356.53","0","100.00","0.00","6.11"
"0.0","356.53","0","100.00","0.00","6.11"
"0.0","356.53","0","100.00","0.00","6.12"
"0.0","356.53","0","100.00","0.00","6.12"
"0.0","356.53","0","100.00","0.00","6.12"
"0.0","356.53","0","100.00","0.00","6.12"
"0.0","356.53","0","100.00","0.00","6.11"
"0.0","356.53","0","100.00","0.00","6.11"
"0.0","356.53","0","100.00","0.00","6.10"
"0.0","356.53","0","100.00","0.00","6.09"
"0.0","356.53","0","100.00","0.00","6.09"
"0.0","356.53","0","100.00","0.00","6.10"
"0.0","356.53","0","100.00","0.00","6.11"
"0.0","356.53","0","100.00","0.00","6.11"
"0.0","356.53","0","100.00","0.00","6.11"
"0.0","356.53","0","100.00","0.00","6.10"
"0.0","356.53","0","100.00","0.00","6.10"
"0.0","356.53","0","100.00","0.00","6.10"
"0.0","356.53","0","100.00","0.00","6.09"
"0.0","356.53","0","100.00","0.00","6.09"
"0.0","356.53","0","100.00","0.00","6.08"
"0.0","356.53","0","100.00","0.00","6.08"
"0.0","356.53","0","100.00","0.00","6.08"
"0.0","356.53","0","100.00","0.00","6.08"
"0.0","356.53","0","100.00","0.00","6.08"
"0.0","356.53","0","100.00","0.00","6.07"
"0.0","356.53","0","100.00","0.00","6.07"
"0.0","356.53","0","100.00","0.00","6.06"
"0.0","356.53","0","100.00","0.00","6.05"
"0.0","356.53","0","100.00","0.00","6.04"
"0.0","356.53","0","100.00","0.00","6.01"
"0.0","356.53","0","100.00","0.00","5.98"
"0.0","356.53","0","100.00","0.00","5.95"
"0.0","356.53","0","100.00","0.00","5.91"
"0.0","356.53","0","100.00","0.00","5.82"
"0.0","356.53","0","100.00","0.00","5.70"
"0.0","356.53","0","100.00","0.00","5.57"
"0.0","356.53","0","100.00","0.00","5.47"
"0.0","356.53","0","100.00","0.00","5.40"
"0.0","356.53","0","100.00","0.00","5.33"
"0.0","356.53","0","100.00","0.00","5.28"
"0.0","356.53","0","100.00","0.00","5.22"
"0.0","356.53","0","100.00","0.00","5.16"
"0.0","356.53","0","100.00","0.00","5.08"
